L 251 ,Estimate,Std..Error,t.value,Pr...t..,
L 251 (Intercept),61.254946,21.95863016,2.78956135,0.006771303,1
L 251 economics,-0.336844914,0.141648865,-2.378027623,0.020100336,1
L 251 cancer,-0.218502638,0.084374495,-2.589676394,0.011647892,1
L 251 office,0.318247115,0.131310718,2.42361872,0.017917161,1
L 251 invest,0.28994401,0.111424559,2.602155324,0.011268625,1
L 251 gain,0.25312672,0.084884648,2.982008229,0.003921469,1
L 251 culture,0.440843931,0.151575084,2.908419497,0.004845514,1
L 251 energy,0.243815503,0.121308191,2.009884906,0.048244291,1
