T 216 ,Estimate,Std..Error,t.value,Pr...t..,
T 216 (Intercept),107.93621,31.45426771,3.431528306,0.001004345,1
T 216 economics,-0.631419166,0.202902517,-3.111933631,0.002677463,1
T 216 growth,0.509516999,0.245689928,2.073821272,0.041724265,1
T 216 rich,0.207020647,0.0899631,2.301172883,0.02432092,1
T 216 leverage,-0.108713961,0.044631819,-2.435795015,0.017371173,1
T 216 success,-0.419557939,0.14084941,-2.978769596,0.003958432,1
T 216 default,-0.304009011,0.124434705,-2.443120764,0.017049908,1
T 216 arts,-0.704182429,0.258312244,-2.726090017,0.008066615,1
