E 170 ,Estimate,Std..Error,t.value,Pr...t..,
E 170 (Intercept),2.712178729,16.57266204,0.163653776,0.87046867,1
E 170 dowjones,-0.230537899,0.08487975,-2.71605298,0.008291058,1
E 170 unemployment,-0.098421754,0.044398028,-2.216804641,0.029840459,1
E 170 marriage,-0.095954177,0.037971221,-2.527023762,0.01373252,1
E 170 stockmarket,0.260660694,0.103449618,2.519687349,0.013997448,1
E 170 holiday,0.223791549,0.077557031,2.885509494,0.005171916,1
E 170 derivatives,0.110891978,0.052165361,2.125778047,0.03700101,1
E 170 economy,-0.186007345,0.093002677,-2.000021403,0.049324251,1
E 170 gains,0.104565832,0.047070022,2.221495264,0.029506904,1
E 170 nyse,-0.205097544,0.080889154,-2.535538258,0.013430726,1
E 170 culture,0.358402416,0.114397056,3.132968871,0.002514668,1
E 170 tourism,-0.28086052,0.100698136,-2.789133267,0.00677936,1
E 170 present,-0.255620944,0.097419794,-2.623911764,0.01063408,1
E 170 politics,0.118126439,0.045117994,2.618166887,0.010798403,1
E 170 conflict,0.128563991,0.048346685,2.659210068,0.009673313,1
E 170 garden,0.23181476,0.091832894,2.524310732,0.01382996,1
