C 383 ,Estimate,Std..Error,t.value,Pr...t..,
C 383 (Intercept),36.52394519,41.84591593,0.872819829,0.385703623,1
C 383 stockmarket,0.57523999,0.261209938,2.202213261,0.030899324,1
C 383 bonds,-0.25832312,0.112507398,-2.296054533,0.024628046,1
C 383 ore,0.255934368,0.12310023,2.079073034,0.041224249,1
C 383 rich,0.287563484,0.119684501,2.402679392,0.018892071,1
C 383 gains,0.295766264,0.118851648,2.48853313,0.015174518,1
C 383 food,-0.493198082,0.195857479,-2.518147805,0.014053624,1
C 383 opportunity,0.371694166,0.185301491,2.0058887,0.048679369,1
C 383 lifestyle,0.249113931,0.087176569,2.857578996,0.005597257,1
C 383 forex,-0.267799732,0.125778822,-2.129132131,0.036712741,1
