N 241 ,Estimate,Std..Error,t.value,Pr...t..,
N 241 (Intercept),18.01310143,31.9722514,0.563397967,0.574938999,1
N 241 dowjones,0.44212236,0.163751406,2.699960689,0.008662835,1
N 241 return,-0.329641902,0.138938805,-2.372569002,0.020377019,1
N 241 money,-0.519731547,0.201429772,-2.580212155,0.011943206,1
N 241 headlines,-0.16370488,0.061389338,-2.666666338,0.009480758,1
N 241 happy,0.425792585,0.124477525,3.420638272,0.00103945,1
N 241 war,0.226390536,0.109320933,2.070880031,0.042006582,1
N 241 gains,0.366551663,0.090808259,4.036545425,0.000135239,1
N 241 culture,0.450603576,0.220696677,2.041732494,0.044894701,1
N 241 energy,0.519484325,0.176627411,2.941130838,0.004412364,1
N 241 conflict,-0.197306213,0.093271217,-2.115403002,0.037905198,1
N 241 forex,-0.213072999,0.096100946,-2.217178984,0.029813718,1
