G 323 ,Estimate,Std..Error,t.value,Pr...t..,
G 323 (Intercept),94.80780662,26.65965469,3.556227855,0.000674596,1
G 323 unemployment,-0.162214776,0.071421,-2.271247617,0.026165697,1
G 323 religion,-0.286050493,0.134655505,-2.124313406,0.037127506,1
G 323 invest,0.297563262,0.135278943,2.19962735,0.031090376,1
G 323 oil,0.136749935,0.063184706,2.164288549,0.03380687,1
G 323 culture,0.549512122,0.184025114,2.986071362,0.003875548,1
G 323 lifestyle,0.133604691,0.055539404,2.405583816,0.018754073,1
