O 101 ,Estimate,Std..Error,t.value,Pr...t..,
O 101 (Intercept),5.214960377,15.52664815,0.335871614,0.737958221,1
O 101 economics,-0.31947793,0.100157982,-3.189740079,0.002120277,1
O 101 headlines,0.071069798,0.029812434,2.383897828,0.019806532,1
O 101 bonds,0.115905671,0.04174512,2.776508275,0.007020969,1
O 101 office,0.361006306,0.09284802,3.888142238,0.000224885,1
O 101 invest,0.176656995,0.078786787,2.242215994,0.028072315,1
O 101 cash,0.095294292,0.035941327,2.651384881,0.009879217,1
O 101 happy,0.159655023,0.060449879,2.641114016,0.010155526,1
O 101 holiday,-0.157121629,0.072661877,-2.162366777,0.033960365,1
O 101 success,-0.142684878,0.069526948,-2.052224099,0.043836004,1
O 101 gain,0.120051428,0.060020778,2.000164467,0.04930844,1
O 101 greed,-0.082773655,0.03751963,-2.206142583,0.030610989,1
O 101 train,0.143147279,0.063530732,2.253197397,0.027337198,1
