N 425 ,Estimate,Std..Error,t.value,Pr...t..,
N 425 (Intercept),133.9508551,94.02731823,1.424595082,0.227391378,1
N 425 oil,0.59926386,0.211829906,2.828986095,0.047393771,1
N 425 opportunity,0.996276251,0.353881174,2.815284691,0.048057896,1
N 425 world,-1.290593461,0.378831648,-3.40677308,0.027107748,1
