T 394 ,Estimate,Std..Error,t.value,Pr...t..,
T 394 (Intercept),-43.3690132,34.87102571,-1.243697664,0.217701615,1
T 394 dowjones,-0.679148162,0.178597979,-3.802664308,0.00029999,1
T 394 stockmarket,0.590594301,0.217671385,2.71323813,0.008355018,1
T 394 office,0.553922536,0.208525732,2.656374973,0.009747457,1
T 394 oil,0.262273483,0.082646063,3.173454047,0.00222705,1
T 394 gains,0.219861814,0.099041419,2.219897667,0.029620142,1
T 394 nyse,-0.542926344,0.170201248,-3.189908136,0.0021192,1
T 394 culture,0.54408472,0.240706211,2.260368431,0.026866358,1
T 394 present,-0.515383767,0.204983854,-2.514265175,0.014196201,1
T 394 fun,0.397559885,0.162274502,2.449922069,0.016756418,1
