C 407 ,Estimate,Std..Error,t.value,Pr...t..,
C 407 (Intercept),6.067755086,NA,NA,NA,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
C 407 ,,,,,1
