C 408 ,Estimate,Std..Error,t.value,Pr...t..,
C 408 (Intercept),23.83114531,24.73518905,0.963451108,0.338591213,1
C 408 economics,-0.521235341,0.159559655,-3.266711376,0.001677437,1
C 408 money,0.499784738,0.155835241,3.207135526,0.002011536,1
C 408 marriage,-0.122476551,0.056673172,-2.16110281,0.034061652,1
C 408 stockmarket,0.326761699,0.15440162,2.116310048,0.03782539,1
C 408 happy,0.247552617,0.096301479,2.570600363,0.012250046,1
C 408 sell,-0.800234661,0.203516225,-3.932043553,0.000193683,1
C 408 risk,0.28036892,0.132778124,2.111559584,0.038244992,1
C 408 rich,0.207960145,0.070745703,2.939544531,0.004432514,1
C 408 gains,0.201732617,0.070253403,2.871499589,0.005381393,1
C 408 food,-0.247817933,0.115771675,-2.140574824,0.035743941,1
C 408 culture,0.347549052,0.170740995,2.035533715,0.045530504,1
C 408 tourism,0.361430023,0.150294951,2.404804828,0.018790997,1
C 408 dividend,0.200266721,0.078305521,2.557504472,0.012679588,1
C 408 home,0.463982711,0.181223665,2.560276616,0.012587542,1
C 408 fun,-0.400319487,0.115106752,-3.477810648,0.000867276,1
