P 173 ,Estimate,Std..Error,t.value,Pr...t..,
P 173 (Intercept),93.56568969,47.41721789,1.973242924,0.068544383,1
P 173 housing,-0.648986751,0.261965519,-2.477374704,0.026603447,1
P 173 credit,1.345662712,0.369136948,3.645429484,0.002648748,1
P 173 investment,1.064880005,0.360241481,2.956017171,0.010421025,1
P 173 bonds,0.297928302,0.099079905,3.00694982,0.00942083,1
P 173 happy,-0.723502001,0.225490874,-3.208564442,0.006312104,1
P 173 ore,0.428689385,0.114635823,3.739576102,0.002198239,1
P 173 profit,-0.698113746,0.279408466,-2.498541851,0.025538502,1
P 173 water,-0.720839054,0.312118864,-2.309501723,0.036683045,1
P 173 returns,0.236285073,0.092444192,2.555975317,0.022850987,1
P 173 gold,-0.541949309,0.22964809,-2.359912108,0.033327488,1
P 173 oil,0.337714943,0.10726809,3.14832623,0.007115272,1
P 173 earnings,0.456517592,0.089503686,5.100545177,0.000161532,1
P 173 health,0.541043855,0.213976653,2.528518171,0.024100032,1
P 173 bubble,0.390474677,0.158745577,2.459751532,0.027522387,1
P 173 trader,-0.599622886,0.205585577,-2.916658332,0.011264946,1
P 173 freedom,-0.441100262,0.160435224,-2.749397858,0.015663491,1
P 173 crash,0.448941051,0.112622733,3.986238293,0.001352058,1
P 173 shortselling,0.29031452,0.115565145,2.512128709,0.024876589,1
P 173 consume,-0.563351398,0.167986727,-3.353547074,0.004730463,1
P 173 garden,0.823022644,0.210122816,3.91686471,0.001549475,1
P 173 forex,0.435198085,0.117936565,3.690103112,0.002424369,1
