C 179 ,Estimate,Std..Error,t.value,Pr...t..,
C 179 (Intercept),107.2039338,34.59737593,3.098614589,0.002785572,1
C 179 economics,-0.498130103,0.223177812,-2.23198757,0.028772618,1
C 179 banking,-0.230463628,0.110837086,-2.079300682,0.041202693,1
C 179 lifestyle,0.183874357,0.072075863,2.551122508,0.012893809,1
C 179 fond,0.313350676,0.12832314,2.441887543,0.017103614,1
C 179 fun,-0.471635228,0.161001056,-2.929392141,0.004563505,1
