C 191 ,Estimate,Std..Error,t.value,Pr...t..,
C 191 (Intercept),-12.86784044,36.46248619,-0.352906282,0.725204277,1
C 191 restaurant,-0.654412888,0.246433401,-2.655536491,0.009769484,1
C 191 finance,0.612642173,0.234653866,2.610833494,0.011011512,1
C 191 travel,0.669356422,0.31089346,2.153009015,0.034716513,1
C 191 culture,0.551931814,0.251691676,2.192888632,0.031593116,1
C 191 energy,0.427409075,0.201433251,2.121839732,0.037342003,1
C 191 train,-0.328129946,0.149194366,-2.199345433,0.031111266,1
C 191 forex,-0.317639474,0.109597519,-2.898235986,0.004988177,1
C 191 fun,0.433679601,0.169680464,2.55586054,0.012734459,1
