L 222 ,Estimate,Std..Error,t.value,Pr...t..,
L 222 (Intercept),-85.89854116,77.25321745,-1.111908915,0.269928218,1
L 222 credit,1.939247806,0.54680867,3.546483281,0.000696114,1
L 222 dowjones,-1.221983054,0.395665693,-3.088423072,0.002871029,1
L 222 unemployment,-0.606910696,0.206960746,-2.932491825,0.004523136,1
L 222 stockmarket,1.566200164,0.482228856,3.247835849,0.001777191,1
L 222 office,1.580001951,0.461967591,3.420157565,0.001041026,1
L 222 sell,-1.416409374,0.635624137,-2.228375687,0.029023556,1
L 222 rich,0.6158091,0.220953767,2.787049562,0.006818704,1
L 222 leverage,0.243039924,0.109617926,2.217154924,0.029815437,1
L 222 politics,-0.596930196,0.21031686,-2.838242242,0.005910361,1
L 222 consumption,0.737787647,0.24249349,3.042504966,0.003287236,1
L 222 crash,-0.311991292,0.140226792,-2.224905012,0.029266494,1
L 222 consume,0.745680602,0.299027539,2.493685382,0.01497391,1
L 222 train,0.83763651,0.316098708,2.649920704,0.009918184,1
L 222 fun,0.866762583,0.359502687,2.411004466,0.018498929,1
