C 210 ,Estimate,Std..Error,t.value,Pr...t..,
C 210 (Intercept),-14.14512863,13.85355914,-1.02104654,0.310698937,1
C 210 invest,0.162480121,0.070297041,2.311336573,0.023721084,1
C 210 cash,0.073541769,0.032068435,2.293275921,0.024796209,1
C 210 fine,0.148066649,0.073853925,2.004858225,0.048792104,1
C 210 happy,0.191472042,0.053936044,3.549983072,0.000688312,1
C 210 chance,-0.084725251,0.028732327,-2.948777942,0.00431641,1
C 210 travel,-0.38109087,0.118120879,-3.226278635,0.00189792,1
C 210 success,-0.129435769,0.062035004,-2.086495688,0.040526389,1
C 210 tourism,0.291136319,0.084176433,3.458644045,0.000921741,1
C 210 financialmarkets,0.094993172,0.040395782,2.351561651,0.021473737,1
C 210 buy,-0.144200692,0.065816546,-2.190948953,0.031739138,1
C 210 lifestyle,0.092808313,0.028860779,3.215724416,0.001959793,1
C 210 garden,-0.19141567,0.076765726,-2.493504336,0.014980919,1
C 210 train,0.173396819,0.056684916,3.05895874,0.003132035,1
