N 380 ,Estimate,Std..Error,t.value,Pr...t..,
N 380 (Intercept),39.27443465,38.27317606,1.026160844,0.308299222,1
N 380 economics,-0.593714497,0.246889351,-2.404779688,0.018792189,1
N 380 dowjones,-0.586975537,0.19602268,-2.994426648,0.003782681,1
N 380 money,0.652684015,0.241126502,2.706811611,0.008502738,1
N 380 stockmarket,0.632481908,0.238908236,2.647384282,0.009986019,1
N 380 house,0.565637404,0.256825428,2.20241979,0.03088411,1
N 380 rich,0.292317927,0.109466022,2.670398731,0.009385687,1
N 380 chance,0.199861238,0.079378691,2.517819776,0.01406562,1
N 380 success,-0.400573398,0.171383874,-2.33728757,0.02224858,1
N 380 default,-0.369409028,0.151410658,-2.439782205,0.017195651,1
N 380 nyse,-0.516840513,0.186806731,-2.76671248,0.007213847,1
N 380 culture,0.568716453,0.264190428,2.152676227,0.034743672,1
N 380 tourism,-0.559409077,0.232553917,-2.405502703,0.018757915,1
N 380 forex,-0.307279912,0.11504002,-2.671069697,0.009368689,1
