P 386 ,Estimate,Std..Error,t.value,Pr...t..,
P 386 (Intercept),-8408.643091,NA,NA,NA,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
P 386 ,,,,,1
