D 262 ,Estimate,Std..Error,t.value,Pr...t..,
D 262 (Intercept),82.44821046,42.95115309,1.919580838,0.058929621,1
D 262 invest,0.678998228,0.217946806,3.115430969,0.002649732,1
D 262 success,-0.450696479,0.192331439,-2.343332336,0.021917469,1
D 262 gain,0.397585964,0.166034652,2.394596298,0.019280907,1
D 262 movie,-0.400388647,0.197811096,-2.024095998,0.046724014,1
D 262 food,0.421387518,0.20103048,2.096137446,0.039635182,1
D 262 consumption,-0.316748599,0.134821246,-2.349396767,0.021589688,1
D 262 train,-0.351147821,0.175744188,-1.998062209,0.049541212,1
