L 178 ,Estimate,Std..Error,t.value,Pr...t..,
L 178 (Intercept),1144.337736,530.5114034,2.157046444,0.04006639,1
L 178 society,-7.16506527,3.409508608,-2.101494994,0.045066792,1
L 178 car,7.875402202,3.629543986,2.169804866,0.038990551,1
L 178 chance,4.404355248,1.485409742,2.965077664,0.006258173,1
L 178 default,-4.417676886,1.766683855,-2.500547493,0.0187708,1
L 178 BUYANDHOLD,-1.193115537,0.540223859,-2.20855765,0.0358799,1
L 178 labor,3.07412365,1.339242339,2.29542,0.029705013,1
