M 327 ,Estimate,Std..Error,t.value,Pr...t..,
M 327 (Intercept),175.2756039,NA,NA,NA,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
M 327 ,,,,,1
