A 410 ,Estimate,Std..Error,t.value,Pr...t..,
A 410 (Intercept),-124.4033764,NA,NA,NA,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
A 410 ,,,,,1
