M 428 ,Estimate,Std..Error,t.value,Pr...t..,
M 428 (Intercept),17.79335844,37.08449071,0.479805927,0.632840209,1
M 428 happy,0.323140674,0.144380999,2.238110801,0.02835156,1
M 428 default,0.461630884,0.146708157,3.14659316,0.002414212,1
M 428 culture,0.60723926,0.255985222,2.3721653,0.020397616,1
M 428 financialmarkets,0.233856643,0.108135172,2.162632544,0.033939102,1
M 428 lifestyle,0.156445968,0.077257208,2.025001561,0.046628549,1
M 428 shortselling,-0.289684417,0.129483321,-2.237233451,0.028411555,1
