N 205 ,Estimate,Std..Error,t.value,Pr...t..,
N 205 (Intercept),40.94080726,49.97775994,0.819180518,0.421883296,1
N 205 cancer,-0.458017145,0.195163263,-2.346840996,0.028819593,1
N 205 BUYANDHOLD,-0.095301321,0.04315218,-2.208493791,0.038461481,1
