G 294 ,Estimate,Std..Error,t.value,Pr...t..,
G 294 (Intercept),48.77973873,50.24171874,0.970901075,0.338259795,1
G 294 restaurant,0.673213776,0.281002669,2.395755804,0.022067424,1
G 294 bonds,-0.242277554,0.109085495,-2.220987808,0.032918473,1
G 294 loss,0.397838199,0.195511684,2.034856389,0.049495056,1
G 294 happy,-0.450662016,0.195442238,-2.305857836,0.027161814,1
G 294 profit,0.436977953,0.180509442,2.420803856,0.020811295,1
G 294 risk,0.58329265,0.216141338,2.698663086,0.010644197,1
G 294 rich,0.370126422,0.156677761,2.362341797,0.023850132,1
G 294 chance,-0.318076357,0.134103671,-2.371869132,0.023328987,1
G 294 oil,-0.263891152,0.10120377,-2.607522949,0.013315591,1
G 294 gain,-0.383750616,0.164580388,-2.331691043,0.025598927,1
G 294 culture,-0.713415415,0.299507852,-2.381958973,0.022788334,1
G 294 present,0.762471062,0.254469866,2.996311806,0.004996552,1
G 294 bubble,-0.53222014,0.135104209,-3.939330554,0.000371964,1
G 294 energy,-0.70658624,0.226708748,-3.116713603,0.003643034,1
G 294 freedom,-0.380527179,0.167596559,-2.270495178,0.029440423,1
G 294 environment,0.756552462,0.252648144,2.994490481,0.005020277,1
