C 418 ,Estimate,Std..Error,t.value,Pr...t..,
C 418 (Intercept),37.11046633,17.81427619,2.083186874,0.040836202,1
C 418 portfolio,0.243990219,0.096338095,2.532645261,0.01353259,1
C 418 invest,0.233843622,0.090394886,2.586912078,0.011733456,1
C 418 nasdaq,0.08900054,0.042648969,2.086815767,0.040496527,1
C 418 economy,-0.310041914,0.099970383,-3.101337655,0.002763143,1
C 418 gains,0.107111355,0.050596481,2.116972425,0.037767202,1
C 418 earnings,-0.061108243,0.029727967,-2.055580937,0.043501847,1
C 418 arts,-0.314262318,0.146296385,-2.148120878,0.035117303,1
C 418 culture,0.424535435,0.122967617,3.45241655,0.000940123,1
C 418 fond,-0.143513597,0.066073908,-2.172016164,0.03319575,1
C 418 kitchen,-0.317220476,0.123207656,-2.574681525,0.012118901,1
C 418 crash,-0.084729749,0.032335725,-2.620313866,0.010736725,1
C 418 home,0.319193904,0.130517232,2.445607356,0.016942076,1
C 418 fun,-0.204875615,0.08289985,-2.47136291,0.015860622,1
