I 127 ,Estimate,Std..Error,t.value,Pr...t..,
I 127 (Intercept),-28.27319614,30.91781243,-0.91446302,0.363568811,1
I 127 stocks,0.178635204,0.085395222,2.091864157,0.040028053,1
I 127 markets,-0.439532403,0.214884689,-2.045433784,0.04451872,1
I 127 car,0.557479283,0.232066695,2.402237354,0.018913153,1
I 127 crisis,-0.276984698,0.106938723,-2.590125341,0.01163405,1
I 127 oil,0.174140222,0.073276751,2.37647301,0.020178792,1
I 127 food,0.298848489,0.144709099,2.065167224,0.042559649,1
I 127 lifestyle,-0.142714225,0.064410319,-2.215704358,0.029919179,1
I 127 world,-0.134267709,0.06437909,-2.08557947,0.040611972,1
I 127 consume,0.263550987,0.119674981,2.202222921,0.030898612,1
