N 390 ,Estimate,Std..Error,t.value,Pr...t..,
N 390 (Intercept),6.521295094,32.61440502,0.199951374,0.842090207,1
N 390 economics,-0.502940579,0.210386232,-2.390558424,0.019477811,1
N 390 inflation,0.258484885,0.11240591,2.299566681,0.024416933,1
N 390 fine,0.444202764,0.173868809,2.554815704,0.012769446,1
N 390 trader,0.386863741,0.123106375,3.142515915,0.002443874,1
N 390 buy,-0.337662264,0.154947004,-2.179211314,0.032635441,1
N 390 fond,0.389198513,0.120968216,3.217361765,0.001950072,1
N 390 fun,-0.412052092,0.151773177,-2.714920387,0.008316739,1
