X 103 ,Estimate,Std..Error,t.value,Pr...t..,
X 103 (Intercept),20.04264493,21.30873005,0.940583736,0.35010741,1
X 103 stocks,0.148325889,0.058854867,2.520197524,0.013978877,1
X 103 revenue,-0.15326306,0.059913978,-2.558051827,0.012661366,1
X 103 cancer,-0.286000666,0.081877299,-3.493039811,0.000826187,1
X 103 marriage,0.106221742,0.048822482,2.175672717,0.032909961,1
X 103 headlines,0.108236282,0.040914505,2.645425715,0.010038687,1
X 103 invest,0.475379265,0.108126774,4.396499084,3.78E-05,1
X 103 sell,0.401562422,0.175324001,2.290401888,0.024971214,1
X 103 banking,0.153966177,0.068265222,2.255411667,0.027191042,1
X 103 finance,-0.396650548,0.137132061,-2.892471273,0.005070645,1
X 103 fed,0.197354421,0.077527057,2.545619927,0.013081132,1
X 103 risk,0.28464805,0.114384943,2.488509778,0.015175433,1
X 103 success,-0.358006205,0.095418596,-3.75195425,0.000355318,1
X 103 war,-0.179058649,0.07285975,-2.457579799,0.0164314,1
X 103 oil,0.134735279,0.050502749,2.66788011,0.009449745,1
X 103 gain,0.172242382,0.082372354,2.091021728,0.0401059,1
X 103 movie,-0.196488305,0.098137138,-2.00218092,0.049086049,1
X 103 food,0.393768648,0.099734324,3.948175816,0.000183297,1
X 103 fond,-0.238885739,0.079034986,-3.022531537,0.003485244,1
X 103 kitchen,-0.358038098,0.147376107,-2.429417523,0.017655255,1
