N 257 ,Estimate,Std..Error,t.value,Pr...t..,
N 257 (Intercept),45.19689069,51.05910483,0.885187683,0.379043498,1
N 257 stocks,0.367039434,0.141025617,2.602643697,0.011254013,1
N 257 economics,-0.991255413,0.329367734,-3.009570494,0.003619604,1
N 257 hedge,0.320090525,0.158307664,2.021952178,0.046950686,1
N 257 money,0.934219329,0.321679688,2.904191229,0.004904285,1
N 257 office,0.883946187,0.305329052,2.895060857,0.005033445,1
N 257 invest,0.606455895,0.259088941,2.340724738,0.022059763,1
N 257 sell,-0.92349654,0.420104179,-2.198256021,0.031192111,1
N 257 banking,0.328857824,0.163574324,2.010448929,0.048183154,1
N 257 car,0.948135256,0.383245669,2.47396209,0.015755003,1
N 257 gold,-0.479656565,0.193043905,-2.484701936,0.015325253,1
N 257 default,-0.598632977,0.201992451,-2.963640344,0.004135425,1
N 257 arts,-0.974931917,0.419313272,-2.325068109,0.022931511,1
N 257 culture,1.128530853,0.352448585,3.201973003,0.002043249,1
N 257 lifestyle,-0.245018958,0.106370179,-2.303455355,0.024185058,1
N 257 labor,0.264991055,0.107050914,2.475374053,0.015697893,1
