K 236 ,Estimate,Std..Error,t.value,Pr...t..,
K 236 (Intercept),59.99288931,25.17935592,2.382622077,0.019870056,1
K 236 return,0.24964426,0.109419558,2.281532338,0.025518203,1
K 236 unemployment,-0.164745681,0.067455291,-2.442294411,0.017085878,1
K 236 economy,-0.345018766,0.141301832,-2.441714742,0.017111152,1
K 236 culture,0.369791526,0.173806971,2.12759893,0.03684427,1
