P 319 ,Estimate,Std..Error,t.value,Pr...t..,
P 319 (Intercept),57.87448472,25.99161484,2.226659832,0.029143439,1
P 319 unemployment,-0.183651083,0.069631326,-2.637477875,0.010255018,1
P 319 office,0.315253765,0.15542762,2.028299515,0.046282294,1
P 319 culture,0.423105408,0.179413797,2.358265729,0.021118169,1
P 319 lifestyle,0.117617133,0.054147693,2.172154112,0.033184929,1
P 319 world,-0.122227868,0.05412144,-2.25840017,0.026994874,1
P 319 train,0.216462813,0.106350468,2.035372451,0.045547148,1
P 319 labor,-0.129324126,0.054494221,-2.373171401,0.020346319,1
