AH 68 ,Estimate,Std..Error,t.value,Pr...t..,
AH 68 (Intercept),7.454508507,43.3828721,0.171830682,0.864059469,1
AH 68 money,0.649306258,0.27331832,2.375641182,0.020220884,1
AH 68 religion,-0.461499679,0.219122963,-2.106121934,0.038730247,1
AH 68 sell,-0.852521259,0.35694566,-2.388378278,0.019584868,1
AH 68 gains,0.271703583,0.123216943,2.205082969,0.03068851,1
AH 68 movie,0.55407841,0.199799373,2.773173913,0.007086085,1
AH 68 culture,0.840051958,0.299461417,2.805209324,0.006482754,1
AH 68 fond,0.468960816,0.160908919,2.914448868,0.004762833,1
AH 68 fun,-0.427155895,0.201884913,-2.115838619,0.037866851,1
