T 391 ,Estimate,Std..Error,t.value,Pr...t..,
T 391 (Intercept),25.0173159,19.48305972,1.284054777,0.203297216,1
T 391 restaurant,-0.282647341,0.131677161,-2.146517579,0.035249637,1
T 391 office,0.236277321,0.11650702,2.028009304,0.046312674,1
T 391 food,0.197464786,0.091189376,2.165436309,0.033715485,1
T 391 shortselling,-0.195801815,0.068026585,-2.878313148,0.005278558,1
