K 130 ,Estimate,Std..Error,t.value,Pr...t..,
K 130 (Intercept),75.53007163,23.98676941,3.148822184,0.002398138,1
K 130 credit,0.353864328,0.169781582,2.084232716,0.040738056,1
K 130 gain,0.219533024,0.09272475,2.367577424,0.020632993,1
K 130 food,0.312960614,0.112268739,2.787602476,0.006808244,1
K 130 lifestyle,0.12239923,0.049971047,2.449402921,0.01677866,1
K 130 labor,-0.151211009,0.050290846,-3.006730259,0.003649683,1
