O 429 ,Estimate,Std..Error,t.value,Pr...t..,
O 429 (Intercept),21.46063764,57.29614868,0.374556373,0.710128669,1
O 429 restaurant,0.78542246,0.314019223,2.501192289,0.016931331,1
O 429 banking,-0.383281473,0.158322315,-2.420893557,0.020506062,1
O 429 water,0.873387972,0.350536424,2.49157552,0.017327232,1
O 429 gain,-0.468644401,0.191290536,-2.449908975,0.019141966,1
O 429 movie,0.573963133,0.241618304,2.375495253,0.022818017,1
O 429 present,0.685139992,0.294521771,2.326279613,0.0255884,1
O 429 fun,-0.714328856,0.243587161,-2.93253903,0.005738973,1
