P 207 ,Estimate,Std..Error,t.value,Pr...t..,
P 207 (Intercept),66.83208783,84.35857619,0.792238215,0.430860915,1
P 207 restaurant,-1.341986353,0.570141342,-2.35377836,0.021355583,1
P 207 dowjones,-1.472776607,0.432057014,-3.408755228,0.001079077,1
P 207 money,1.095557291,0.531471137,2.061367429,0.042930986,1
P 207 religion,-1.078839914,0.426087538,-2.53196777,0.013556545,1
P 207 marriage,-0.401524135,0.193282052,-2.077400004,0.041382971,1
P 207 society,-1.486875752,0.610464561,-2.435646306,0.01737775,1
P 207 stockmarket,1.262975528,0.526581817,2.398441204,0.019095066,1
P 207 holiday,0.979838214,0.394782726,2.481968304,0.015433627,1
P 207 nyse,-0.978129521,0.41174398,-2.375576981,0.020224136,1
P 207 culture,1.712271069,0.582306738,2.940496747,0.004420408,1
P 207 present,-1.409321711,0.495888657,-2.842012397,0.005848077,1
P 207 lifestyle,0.471411745,0.175742149,2.682405708,0.009085709,1
P 207 shortselling,-0.603282198,0.294544387,-2.048187724,0.044240735,1
