E 357 ,Estimate,Std..Error,t.value,Pr...t..,
E 357 (Intercept),-5.668563366,23.07849222,-0.245621045,0.806684219,1
E 357 stocks,0.159958089,0.063742963,2.509423514,0.01437582,1
E 357 inflation,0.198866484,0.07954028,2.500198434,0.014723733,1
E 357 office,0.322009328,0.138007397,2.333275862,0.022470771,1
E 357 sell,-0.474981102,0.189885253,-2.501411221,0.014677566,1
E 357 risk,0.283134357,0.123885,2.285461166,0.025274618,1
E 357 rich,0.182451612,0.066007345,2.764110747,0.007265884,1
E 357 default,-0.289141124,0.091299705,-3.166944779,0.002271117,1
E 357 economy,-0.273157209,0.129512178,-2.109123734,0.03846171,1
E 357 fond,0.178055404,0.08559911,2.080108136,0.041126312,1
