I 291 ,Estimate,Std..Error,t.value,Pr...t..,
I 291 (Intercept),-0.710916246,6.420861856,-0.110719754,0.912150967,1
I 291 credit,0.104250844,0.045447724,2.293862787,0.024760607,1
I 291 dowjones,0.095630762,0.032885553,2.907987082,0.004851494,1
I 291 hedge,0.04711027,0.019907745,2.366429229,0.020692277,1
I 291 stockmarket,-0.083360245,0.040080206,-2.07983575,0.041152064,1
I 291 office,0.081759724,0.038396201,2.12937012,0.036692361,1
I 291 happy,0.061881019,0.024998333,2.475405807,0.015696611,1
I 291 finance,-0.095727985,0.041321375,-2.316669898,0.023411597,1
I 291 rich,0.038733514,0.01836446,2.109156185,0.038458816,1
I 291 gains,0.042391193,0.018236667,2.324503407,0.022963517,1
I 291 food,0.083033647,0.030052486,2.762954328,0.007289124,1
I 291 financialmarkets,0.042743072,0.018722679,2.282957113,0.025429629,1
I 291 fond,0.061077555,0.02381525,2.564640513,0.012443868,1
I 291 labor,-0.034247241,0.013462029,-2.543988149,0.013137152,1
