B 229 ,Estimate,Std..Error,t.value,Pr...t..,
B 229 (Intercept),82.89948955,37.23522463,2.226372752,0.029163539,1
B 229 marriage,-0.217829949,0.085313206,-2.553296945,0.012820456,1
B 229 office,0.463266776,0.222663438,2.08056958,0.041082717,1
B 229 happy,0.296509206,0.144967851,2.045344558,0.044527752,1
B 229 culture,0.644099298,0.257025701,2.505972339,0.014505101,1
B 229 fun,-0.434520342,0.17327645,-2.507671075,0.014441336,1
