T 202 ,Estimate,Std..Error,t.value,Pr...t..,
T 202 (Intercept),27.21060257,10.13321106,2.685289234,0.009014982,1
T 202 dowjones,-0.128408259,0.05189899,-2.474195711,0.015745541,1
T 202 stockmarket,0.160904036,0.063253376,2.543801569,0.013143572,1
T 202 office,0.146762375,0.06059573,2.421992033,0.017991253,1
T 202 rich,0.06514263,0.028982238,2.247674238,0.027704782,1
T 202 gain,0.090794686,0.039171572,2.31787191,0.023342342,1
T 202 economy,-0.159267185,0.056865684,-2.800760937,0.006563612,1
T 202 arts,-0.206262401,0.083217085,-2.4786064,0.015567852,1
T 202 culture,0.236560308,0.069947092,3.381989178,0.001173624,1
T 202 financialmarkets,0.076961687,0.029547568,2.60467075,0.011193545,1
T 202 trader,0.097050213,0.038248831,2.537338003,0.013367706,1
T 202 lifestyle,0.080827843,0.02111027,3.82883989,0.000274756,1
T 202 consumption,0.129286293,0.031807578,4.064638127,0.000122686,1
T 202 kitchen,-0.16666241,0.070083632,-2.378050404,0.020099188,1
