K 310 ,Estimate,Std..Error,t.value,Pr...t..,
K 310 (Intercept),79.94151223,45.61551852,1.752506928,0.084003789,1
K 310 restaurant,-0.630443588,0.308294593,-2.044938839,0.044568839,1
K 310 economics,-0.960215967,0.29425271,-3.263235763,0.001695401,1
K 310 dowjones,-0.511918008,0.233627755,-2.191169491,0.031722506,1
K 310 cancer,-0.550491369,0.175274428,-3.140739789,0.002456902,1
K 310 stockmarket,0.60001354,0.284740494,2.107229401,0.038630986,1
K 310 bonds,0.363393984,0.122642393,2.963037285,0.004142629,1
K 310 invest,0.85757233,0.231466581,3.70495096,0.000415199,1
K 310 cash,0.242339708,0.105591514,2.295068035,0.024687633,1
K 310 banking,0.307878712,0.146135104,2.106808728,0.038668664,1
K 310 water,-0.822325643,0.330485177,-2.488237595,0.015186098,1
K 310 oil,0.24811681,0.108111045,2.295018147,0.02469065,1
K 310 gain,0.552505038,0.176334189,3.133283683,0.002512303,1
K 310 nyse,-0.671215699,0.222643814,-3.014751171,0.003565332,1
K 310 culture,0.989227676,0.314872832,3.141673638,0.002450044,1
K 310 buy,-0.493154962,0.216713686,-2.27560599,0.025889557,1
K 310 consumption,0.340995372,0.143184538,2.381509736,0.019925591,1
