K 276 ,Estimate,Std..Error,t.value,Pr...t..,
K 276 (Intercept),39.38061894,31.27885411,1.259017316,0.212147808,1
K 276 restaurant,-0.430378725,0.211399583,-2.035854178,0.045497445,1
K 276 dowjones,-0.35150232,0.160200052,-2.1941461,0.031498766,1
K 276 office,0.421458232,0.187044855,2.253246858,0.027333926,1
K 276 gain,0.382345662,0.120913486,3.1621424,0.002304149,1
K 276 default,0.259764877,0.123740759,2.099266874,0.039349597,1
K 276 conflict,0.197368366,0.0912484,2.162978915,0.033911407,1
K 276 opportunity,0.35505702,0.138508578,2.563429836,0.012483578,1
K 276 lifestyle,0.17005389,0.065162468,2.609690735,0.011045062,1
K 276 world,-0.184335202,0.065130875,-2.830227633,0.006044798,1
K 276 consumption,0.256768586,0.098182558,2.615215898,0.010883705,1
K 276 labor,-0.152414908,0.065579487,-2.324124722,0.022985002,1
