G 326 ,Estimate,Std..Error,t.value,Pr...t..,
G 326 (Intercept),89.85274344,35.50988699,2.530358474,0.013613601,1
G 326 economics,-0.6243217,0.229064161,-2.725531998,0.008078946,1
G 326 housing,-0.619088127,0.189966225,-3.258937889,0.001717864,1
G 326 revenue,-0.21323795,0.099843518,-2.135721519,0.036152095,1
G 326 cancer,-0.443825579,0.136444248,-3.252798013,0.001750441,1
G 326 invest,1.041710967,0.180187629,5.781256867,1.83E-07,1
G 326 fine,-0.423866317,0.189304749,-2.239068583,0.028286192,1
G 326 finance,-0.526609501,0.228523426,-2.304400516,0.024128994,1
G 326 car,0.76451583,0.266534449,2.868356537,0.00542945,1
G 326 fed,0.334329795,0.129194796,2.58779615,0.01170603,1
G 326 risk,0.549717756,0.190616541,2.883893256,0.005195692,1
G 326 water,-0.556079663,0.257269712,-2.161465722,0.034032544,1
G 326 success,-0.534688961,0.159010112,-3.362609811,0.001246901,1
G 326 oil,0.217890761,0.084160196,2.589000164,0.011668771,1
G 326 gain,0.510599547,0.137269231,3.719694099,0.000395451,1
G 326 food,0.485267094,0.166202049,2.919741949,0.004691326,1
G 326 present,-0.641183064,0.2087393,-3.071693077,0.00301663,1
G 326 buy,-0.34600637,0.168703081,-2.05097837,0.043960573,1
G 326 fond,-0.284169674,0.131707682,-2.157578586,0.034345456,1
G 326 kitchen,-0.605492146,0.245594595,-2.465413162,0.016104789,1
G 326 fun,-0.459369492,0.165247483,-2.779887972,0.006955528,1
