H 108 ,Estimate,Std..Error,t.value,Pr...t..,
H 108 (Intercept),42.60814928,28.33018245,1.503984288,0.137020923,1
H 108 unemployment,-0.24102812,0.07589633,-3.175754604,0.002211668,1
H 108 headlines,-0.128151398,0.054396267,-2.35588587,0.021243787,1
H 108 stockmarket,0.433348377,0.176842233,2.450480126,0.016732539,1
H 108 banking,0.209962351,0.090759336,2.313396738,0.023601108,1
H 108 ore,0.203445534,0.083340319,2.441141783,0.017136165,1
H 108 rich,0.175059512,0.08102783,2.160486248,0.034111155,1
H 108 gains,0.21599849,0.080463978,2.684412257,0.009036439,1
H 108 food,-0.295182291,0.132597841,-2.226147029,0.029179351,1
H 108 trader,-0.227680997,0.106935143,-2.129150357,0.036711179,1
H 108 lifestyle,0.133119457,0.059019573,2.255513717,0.027184323,1
H 108 forex,-0.171690369,0.085153758,-2.016239488,0.047559321,1
