S 122 ,Estimate,Std..Error,t.value,Pr...t..,
S 122 (Intercept),121.3827646,33.7006512,3.601792853,0.000736642,1
S 122 credit,0.662662659,0.267311984,2.478985969,0.016665303,1
S 122 revenue,-0.19615826,0.095218364,-2.060088546,0.044721439,1
S 122 cancer,-0.360481895,0.15080752,-2.390344299,0.020721289,1
S 122 marriage,0.181593262,0.08040023,2.258616214,0.028392999,1
S 122 office,-0.514893828,0.216056902,-2.383139915,0.021087078,1
S 122 loss,0.478273128,0.166041409,2.880444888,0.005875331,1
S 122 crisis,-0.226746189,0.110620591,-2.049764753,0.045759073,1
S 122 default,-0.335954973,0.136005583,-2.470155746,0.017034438,1
S 122 politics,-0.262002094,0.107444155,-2.438495557,0.018419501,1
S 122 freedom,-0.530853867,0.145867178,-3.639296203,0.000657182,1
S 122 consumption,-0.296391395,0.109271558,-2.71242948,0.009188123,1
