M 336 ,Estimate,Std..Error,t.value,Pr...t..,
M 336 (Intercept),64.36668725,35.63793056,1.806128645,0.07513647,1
M 336 credit,-0.613951504,0.252250069,-2.433900245,0.017455144,1
M 336 dowjones,-0.533604703,0.182525815,-2.923447855,0.004641853,1
M 336 chance,0.16808399,0.073913183,2.274073201,0.025986378,1
M 336 war,-0.27371216,0.121854784,-2.246215948,0.027802559,1
M 336 arts,-0.620249492,0.292669786,-2.119280917,0.037565015,1
M 336 lifestyle,0.155999652,0.074243625,2.101185808,0.039175363,1
M 336 dividend,0.233550626,0.112820918,2.070100393,0.042081692,1
M 336 labor,0.167408289,0.074718761,2.240512116,0.028187921,1
