V 125 ,Estimate,Std..Error,t.value,Pr...t..,
V 125 (Intercept),108.879978,36.80985858,2.957902642,0.004204445,1
V 125 economics,-0.664243338,0.237449907,-2.797404076,0.006625241,1
V 125 dowjones,-0.404571091,0.188528047,-2.145946441,0.035296882,1
V 125 money,0.530011766,0.231907392,2.285445761,0.025275569,1
V 125 invest,0.817785609,0.186784068,4.37824071,4.04E-05,1
V 125 finance,-0.479443576,0.236889377,-2.023913365,0.046743287,1
V 125 crisis,0.369185814,0.12731817,2.899710349,0.004967285,1
V 125 success,-0.468691142,0.164831269,-2.843460141,0.005824321,1
V 125 culture,0.598692274,0.254089503,2.356225924,0.021225797,1
V 125 lifestyle,0.163225051,0.076685074,2.128511358,0.036765946,1
V 125 forex,-0.246864131,0.110641637,-2.231204605,0.028826853,1
V 125 labor,0.172911373,0.077175834,2.240485962,0.028189699,1
