L 137 ,Estimate,Std..Error,t.value,Pr...t..,
L 137 (Intercept),-23.94794833,30.90369961,-0.774921729,0.440959121,1
L 137 economics,-0.430516309,0.199350959,-2.159589859,0.034183238,1
L 137 housing,-0.415551099,0.165324636,-2.513546129,0.014222748,1
L 137 credit,0.73609896,0.218740545,3.365169271,0.001236982,1
L 137 growth,0.58321759,0.241389429,2.416085871,0.018262575,1
L 137 money,0.403967759,0.194697743,2.074845621,0.041626328,1
L 137 fine,0.425985943,0.164748964,2.585666898,0.011772184,1
L 137 metals,0.280650154,0.134169589,2.091756834,0.040037963,1
L 137 rich,0.193478982,0.088388407,2.188963325,0.031889232,1
L 137 derivatives,-0.232133474,0.097274815,-2.386367677,0.019684065,1
L 137 chance,-0.171964682,0.064094373,-2.682991877,0.009071291,1
L 137 default,-0.357199957,0.122256629,-2.921722613,0.004664824,1
L 137 arts,-0.613473656,0.253790807,-2.417241442,0.018209203,1
L 137 bubble,-0.273451835,0.102443003,-2.669307088,0.009413403,1
L 137 buy,0.318967653,0.146819654,2.172513313,0.033156767,1
L 137 lifestyle,-0.12866017,0.064380918,-1.998420856,0.049501434,1
L 137 freedom,-0.288023066,0.114757237,-2.509846645,0.014360041,1
L 137 transaction,0.262976887,0.126119232,2.085145009,0.04065261,1
