NC 91 ,Estimate,Std..Error,t.value,Pr...t..,
NC 91 (Intercept),6.250792015,40.03111526,0.156148335,0.87644916,1
NC 91 markets,-0.670857233,0.272595658,-2.4609975,0.016799911,1
NC 91 headlines,0.17994335,0.076557478,2.350434661,0.022114475,1
NC 91 invest,0.960612465,0.25736579,3.732479228,0.000428585,1
NC 91 house,0.595038009,0.295167504,2.015933326,0.048367958,1
NC 91 crisis,0.395239554,0.133747531,2.955116629,0.004485655,1
NC 91 success,-0.399449302,0.179702302,-2.222839093,0.030071169,1
NC 91 earnings,-0.185491874,0.074403901,-2.493039641,0.015491007,1
NC 91 financialmarkets,0.239986677,0.115171861,2.083726669,0.041525539,1
NC 91 buy,-0.464229339,0.192918809,-2.406345663,0.019263617,1
NC 91 home,0.663621845,0.320273186,2.072049344,0.042640537,1
NC 91 train,0.413145751,0.167517023,2.466291142,0.016577024,1
NC 91 fun,-0.393965843,0.193090923,-2.040312594,0.045802949,1
