R 228 ,Estimate,Std..Error,t.value,Pr...t..,
R 228 (Intercept),-304.3438831,NA,NA,NA,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
R 228 ,,,,,1
