S 188 ,Estimate,Std..Error,t.value,Pr...t..,
S 188 (Intercept),320.3760476,NA,NA,NA,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
S 188 ,,,,,1
