H 433 ,Estimate,Std..Error,t.value,Pr...t..,
H 433 (Intercept),109.0123068,46.66207217,2.336208011,0.022624518,1
H 433 restaurant,-0.825439385,0.306965935,-2.689026018,0.009126395,1
H 433 inflation,-0.315756802,0.156570454,-2.016707451,0.047925972,1
H 433 growth,0.903559477,0.368813905,2.449906211,0.017035292,1
H 433 hedge,0.590528386,0.152287656,3.877716697,0.000251274,1
H 433 cancer,0.498483136,0.184720207,2.698584757,0.008894821,1
H 433 investment,-1.264312087,0.512826088,-2.465381766,0.016379138,1
H 433 marriage,-0.212646846,0.103136858,-2.061792941,0.043293332,1
H 433 bonds,-0.307334518,0.12709116,-2.418221041,0.018452847,1
H 433 invest,1.11835319,0.29328115,3.813246055,0.000311014,1
H 433 fine,0.597972026,0.246657855,2.424297516,0.018173069,1
H 433 house,0.850455004,0.327090423,2.600060853,0.011560956,1
H 433 crisis,0.455482187,0.160885964,2.831087167,0.006192859,1
H 433 travel,0.884335249,0.398065991,2.221579507,0.029855401,1
H 433 leverage,0.13346566,0.064813845,2.059215289,0.043547356,1
H 433 returns,-0.199507419,0.095899926,-2.080370936,0.041500116,1
H 433 earnings,-0.230881037,0.077337035,-2.985387765,0.004008546,1
H 433 nyse,-0.477187007,0.220901213,-2.160182832,0.034509743,1
H 433 energy,-0.531325589,0.257669079,-2.062046368,0.043268427,1
H 433 buy,-0.594625228,0.225939885,-2.631785118,0.010632173,1
H 433 consumption,0.379959754,0.143409157,2.649480426,0.010144123,1
H 433 home,1.082733911,0.36586134,2.959410551,0.004317347,1
H 433 forex,-0.387376819,0.139817979,-2.770579451,0.007316066,1
H 433 fun,-0.580527198,0.219959998,-2.63923988,0.010424016,1
