T 382 ,Estimate,Std..Error,t.value,Pr...t..,
T 382 (Intercept),48.58557965,37.01770342,1.312495783,0.193579983,1
T 382 inflation,0.274559336,0.127581927,2.152023745,0.034796975,1
T 382 invest,-0.563605016,0.187838734,-3.000472823,0.003716771,1
T 382 cash,0.214532731,0.085689157,2.503615842,0.014593976,1
T 382 sell,-0.776597427,0.304574315,-2.54977977,0.012939295,1
T 382 fed,-0.317111563,0.134680649,-2.354544358,0.021314889,1
T 382 crisis,-0.364028145,0.128037065,-2.843146596,0.005829458,1
T 382 nasdaq,-0.235941714,0.088623689,-2.66228722,0.009593419,1
T 382 chance,-0.249548892,0.076774837,-3.25039951,0.001763323,1
T 382 gains,0.27713135,0.105138458,2.635870418,0.010299283,1
T 382 food,-0.398032581,0.1732593,-2.29732304,0.024551611,1
T 382 financialmarkets,0.241088739,0.107940426,2.233535174,0.028665683,1
