D 347 ,Estimate,Std..Error,t.value,Pr...t..,
D 347 (Intercept),5.957524515,19.47686648,0.30587695,0.760593412,1
D 347 stocks,0.111793831,0.053795246,2.078135876,0.041313093,1
D 347 unemployment,-0.123423195,0.052178368,-2.365409255,0.020745068,1
D 347 stockmarket,0.284991297,0.121578199,2.344098695,0.021875805,1
D 347 economy,-0.244708065,0.109300529,-2.238855276,0.028300738,1
D 347 nyse,-0.235459806,0.095064223,-2.476849837,0.0156384,1
D 347 culture,0.322686935,0.134444073,2.400157386,0.019012633,1
D 347 tourism,-0.31193782,0.118344545,-2.635844523,0.010299997,1
