M 206 ,Estimate,Std..Error,t.value,Pr...t..,
M 206 (Intercept),81.98650574,74.93077572,1.094163312,0.277581559,1
M 206 dowjones,-1.047517272,0.383770906,-2.729537999,0.007990804,1
M 206 loss,0.851900249,0.349271626,2.439076596,0.017226597,1
M 206 sell,1.253635673,0.616515548,2.033421019,0.045748965,1
M 206 leverage,-0.25444669,0.106322513,-2.3931591,0.019350786,1
M 206 default,0.6115963,0.296430012,2.063206408,0.042750923,1
M 206 gains,-0.616836027,0.212819961,-2.898393666,0.004985939,1
M 206 dividend,0.56942023,0.237212395,2.400465747,0.018997856,1
M 206 consume,-0.823747532,0.290037958,-2.840136987,0.005878983,1
