E 112 ,Estimate,Std..Error,t.value,Pr...t..,
E 112 (Intercept),-18.03148203,54.24196428,-0.332426789,0.740546493,1
E 112 revenue,-0.358257813,0.152512694,-2.349036028,0.021609063,1
E 112 dowjones,-0.824156296,0.277809586,-2.966622957,0.004099962,1
E 112 markets,0.774575124,0.37699199,2.054619579,0.04359732,1
E 112 bonds,0.338257893,0.145835552,2.319447413,0.023251843,1
E 112 invest,0.854772922,0.275239708,3.105558161,0.002728714,1
E 112 car,0.88369568,0.407135964,2.170517363,0.033313519,1
E 112 success,-0.759928119,0.242890686,-3.128683661,0.002547063,1
E 112 gain,0.488204218,0.209681115,2.328317539,0.022748113,1
E 112 movie,-0.749289144,0.249810811,-2.99942641,0.003728102,1
E 112 food,0.661757725,0.253876493,2.60661283,0.011135888,1
E 112 greed,-0.308842739,0.131073908,-2.356248796,0.021224588,1
E 112 fun,0.744964724,0.252418378,2.951309365,0.004285075,1
