I 180 ,Estimate,Std..Error,t.value,Pr...t..,
I 180 (Intercept),37.75122645,45.47273867,0.830194696,0.409211573,1
I 180 economics,-0.6554135,0.293331678,-2.234376816,0.028607674,1
I 180 cash,0.221388285,0.105261005,2.103231729,0.038990336,1
I 180 default,-0.700907863,0.179892498,-3.896259541,0.000218774,1
I 180 consumption,0.431674149,0.14273636,3.024275998,0.003467518,1
I 180 labor,0.342775422,0.095338496,3.595351704,0.000594396,1
