A 119 ,Estimate,Std..Error,t.value,Pr...t..,
A 119 (Intercept),12.25828907,38.98740661,0.314416632,0.757267371,1
A 119 dowjones,0.525915194,0.211808506,2.482974853,0.024498435,1
A 119 house,-0.751276728,0.320398291,-2.344821271,0.032264513,1
A 119 fond,0.308325834,0.141816961,2.174111133,0.045048147,1
A 119 home,-0.521496738,0.243788023,-2.13914011,0.04818823,1
