I 284 ,Estimate,Std..Error,t.value,Pr...t..,
I 284 (Intercept),24.04987702,NA,NA,NA,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
I 284 ,,,,,1
