G 195 ,Estimate,Std..Error,t.value,Pr...t..,
G 195 (Intercept),94.96182545,38.01371865,2.498093552,0.014804171,1
G 195 dowjones,-0.497870503,0.194693824,-2.557197208,0.012689827,1
G 195 religion,-0.573375437,0.192003855,-2.986270451,0.00387331,1
G 195 stockmarket,0.62941083,0.237288655,2.652511265,0.009849335,1
G 195 bonds,-0.234378029,0.102204109,-2.293234895,0.024798699,1
G 195 loss,0.394997384,0.177191724,2.22920899,0.028965492,1
G 195 travel,0.685604495,0.324119876,2.115280624,0.037915977,1
G 195 culture,0.752475304,0.262399456,2.867670973,0.005439984,1
G 195 consumption,0.346326495,0.119322918,2.902430665,0.004928949,1
G 195 consume,-0.380236212,0.147141428,-2.584154694,0.011819373,1
G 195 fun,-0.389123035,0.176899221,-2.199687671,0.031085907,1
