A 227 ,Estimate,Std..Error,t.value,Pr...t..,
A 227 (Intercept),35.8026873,16.51850853,2.167428569,0.033557374,1
A 227 stocks,0.092263118,0.04562424,2.022239009,0.046920304,1
A 227 rich,0.147935958,0.04724498,3.131252433,0.002527597,1
A 227 crisis,0.122079873,0.057134321,2.136716963,0.03606805,1
A 227 economy,-0.205460747,0.092698778,-2.216434264,0.029866938,1
A 227 culture,0.289324028,0.114023248,2.537412628,0.013365099,1
A 227 conflict,-0.113455745,0.048188705,-2.354405338,0.02132227,1
A 227 financialmarkets,0.098163693,0.048166544,2.038005721,0.045276029,1
A 227 lifestyle,-0.076350154,0.034412603,-2.218668389,0.029707532,1
A 227 consumption,0.113836147,0.051850666,2.195461618,0.031400325,1
A 227 forex,-0.121082465,0.049650689,-2.438686513,0.017243726,1
A 227 fun,-0.17025273,0.076869914,-2.214816183,0.029982857,1
