A 240 ,Estimate,Std..Error,t.value,Pr...t..,
A 240 (Intercept),-2102.455946,NA,NA,NA,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
A 240 ,,,,,1
