E 129 ,Estimate,Std..Error,t.value,Pr...t..,
E 129 (Intercept),63.68521044,25.77937047,2.470394322,0.015900143,1
E 129 dowjones,0.290792887,0.132033497,2.202417518,0.030884277,1
E 129 unemployment,-0.174223418,0.069062725,-2.522683789,0.013888691,1
E 129 cancer,-0.282046489,0.099055421,-2.847360453,0.005760762,1
E 129 invest,0.263365631,0.130812121,2.013312136,0.047873821,1
E 129 happy,0.248333793,0.100366789,2.474262603,0.015742833,1
E 129 sell,0.434996753,0.212107543,2.050831136,0.043975316,1
E 129 finance,-0.386896286,0.165902811,-2.332065888,0.022538172,1
E 129 oil,0.14904512,0.061098389,2.439427995,0.01721118,1
E 129 gain,0.336768952,0.09965434,3.37937065,0.001183282,1
E 129 food,0.374982392,0.120658908,3.107788712,0.00271068,1
E 129 culture,0.427797862,0.177948726,2.404051281,0.018826776,1
E 129 financialmarkets,0.162076171,0.075170418,2.156116399,0.03446381,1
E 129 labor,-0.139413296,0.054049227,-2.579376289,0.011969611,1
